uuid;relative_time_us;agent;source;type;igs_timestamp;value
;150191076;SmartEyeProBridge;pupil_diameter_quality;2;;0.791831
;150229174;SmartEyeProBridge;pupil_diameter;2;;0.004711
;150229195;SmartEyeProBridge;pupil_diameter_quality;2;;0.809335
;150229426;SmartEyeProBridge;pupil_diameter;2;;0.004888
;150229458;SmartEyeProBridge;pupil_diameter_quality;2;;0.729721
;150229528;SmartEyeProBridge;an_saccade;1;;6983
;150229552;SmartEyeProBridge;an_fixation;1;;0
;150229575;SmartEyeProBridge;an_blink;1;;0
;150278555;SmartEyeProBridge;pupil_diameter;2;;0.004675
;150278574;SmartEyeProBridge;pupil_diameter_quality;2;;0.799850
;150281986;SmartEyeProBridge;pupil_diameter;2;;0.004624
;150282021;SmartEyeProBridge;pupil_diameter_quality;2;;0.804878
;150282142;SmartEyeProBridge;an_saccade;1;;0
;150282177;SmartEyeProBridge;an_fixation;1;;6984
;150284051;SmartEyeProBridge;pupil_diameter;2;;0.004656
;150284089;SmartEyeProBridge;pupil_diameter_quality;2;;0.792884
;150291321;SmartEyeProBridge;pupil_diameter;2;;0.004800
;150291352;SmartEyeProBridge;pupil_diameter_quality;2;;0.945897
;150333034;SmartEyeProBridge;pupil_diameter;2;;0.004721
;150333054;SmartEyeProBridge;pupil_diameter_quality;2;;0.744991
;150333245;SmartEyeProBridge;pupil_diameter;2;;0.004466
;150333263;SmartEyeProBridge;pupil_diameter_quality;2;;0.755946
;150333355;SmartEyeProBridge;an_blink;1;;0
;150341149;SmartEyeProBridge;pupil_diameter;2;;0.004714
;150341174;SmartEyeProBridge;pupil_diameter_quality;2;;0.790779
;150366231;SmartEyeProBridge;pupil_diameter;2;;0.004660
;150366250;SmartEyeProBridge;pupil_diameter_quality;2;;0.760331
;150366311;SmartEyeProBridge;an_saccade;1;;0
;150366330;SmartEyeProBridge;an_fixation;1;;6984
;150374368;SmartEyeProBridge;pupil_diameter;2;;0.004676
;150374399;SmartEyeProBridge;pupil_diameter_quality;2;;0.795720
;150409592;SmartEyeProBridge;pupil_diameter;2;;0.004566
